"studyid","study_intercept","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","lp","error","y"
"1",-0.572561558045388,-0.477192699753547,1.28061710689861,-0.81984763909602,-0.480668151031309,0.272405778639437,0.515653432567394,1.2767677693413,-0.686985447890757,-1.18260059482949,0.104217502246451,-0.89828281866827,1.34931703512405,0.0731506467479221,0.539641597600698,0.0402306863032317
"2",0.131596244190598,-0.998386444859704,1.56513013425123,-0.995209548714176,1.22288375044724,0.965489926053761,0.50995632659946,-0.125089853270758,-0.141418843064586,0.0212316357417981,1.89715640693052,0.930603718372745,-1.47057412069567,0.976233801287433,-0.163952995781296,0.943877049696735
"3",0.514395616018731,-0.77625389463799,-1.2005460361895,0.297310127536131,0.984495972336201,0.688023221700235,0.877534755180437,-0.334651566819711,2.208720860524,0.729333565881418,-0.36687152538632,0.96861322747545,0.00969810584785769,1.17935536174673,-0.261744606300837,1.43200637146462
"4",-1.11266211637996,0.0644588172762693,-0.437694966373986,0.55741649513032,1.58320220167434,-2.06527190761258,-0.305159380450246,-1.61411435160063,0.90790979186951,0.121526868043761,-0.861805181962411,-0.0067874369780004,-0.0226591076647947,-0.600149299767519,0.0260770963652818,-1.6867343197822
"5",0.203551712528084,0.959494058970771,0.146381481824469,-1.27333700747864,-0.525207153324516,-2.15749440589516,-0.998621027342654,-1.24808337467923,-1.12000842685122,-0.462744371671757,0.578225191001318,-0.465491580728189,0.752022254076943,-1.67860675237918,0.57811649709436,-0.896938542756741
"6",0.240043386384971,-0.110285494390774,0.0660190755538856,1.02507260984608,2.01647964748517,1.70372824910126,0.779717443181239,1.72819294928227,-0.981631437785236,-0.650490765008602,-0.351258119848835,-0.882634101693821,0.477896296141904,1.39164692248003,-0.0929060390780237,1.53878426978698
"7",-0.27262310045098,-0.511009505806642,-0.445036015296508,0.466612171266509,-0.734089194148306,-1.11997884489105,-0.202455829498655,2.29829418660227,-1.60379287407642,1.39749153365597,0.926596407918347,1.12035631690446,-0.319941254679628,0.367497042346354,-0.85906265557427,-0.764188713678896
"8",-0.259290255882408,-0.911195416629811,-2.3421123864415,0.233918317814873,-1.23062241340778,-0.991884696642173,0.05769265498578,-0.391329302558777,-0.327246056679775,-0.68423925333213,-0.356046365139943,0.332217276577738,0.701121306679188,-1.70599104510949,-0.678433839021166,-2.64371514001306
"9",-0.267743092045511,-0.83717168026894,-0.278382367507851,0.264441898678835,0.118332300287456,-1.11797384393811,-0.784453934886022,-0.319489361780983,-0.224942575183362,0.982465273867904,-0.197322105191877,0.761216901832049,0.66804182470108,-0.27864011412709,0.181666223656049,-0.364716982516552
"10",-0.42218201152364,2.41583517848934,-1.18180363234485,0.432419921394225,0.472014848224056,-0.599470204315027,-2.30477854744121,-1.2984726709318,0.761479387173212,-0.425003208962834,0.930346979554361,0.607987995900895,0.0531490967140321,-0.039344936057883,0.534954810768649,0.073427863187126
